ID_Credit;Customer_ID;LoanDate;B_M;City;age;Time_experience;Activity;BankingExp;OtherIncome;SectBalance;Exp;Income;Delincuency_Hist;score_1;score_2;score_3;score_4;Cupo_solicitado;Cupo_aprobado;Canal_cobranza;Resultado_cobranza
1;1082423;2016-11-25 00:00:00;1;ATLANTHIC SOUTH;32;20;Empleado;N;S;8000;590;1250;1;525;560;700;700;28654;25249;Correo;No contactado
2;1069232;2020-05-28 00:00:00;1;ATLANTHIC SOUTH;29;20;Pensionado;S;S;7500;733;1500;0;493;529;590;660;20795;10802;Correo;No contactado
3;1031705;2016-06-25 00:00:00;1;ATLANTHIC SOUTH;67;20;Empleado;S;S;5000;300;1000;3;532;636;617;836;5860;5383;Correo;No contactado
4;1089806;2018-06-09 00:00:00;0;NEW ENGALND;30;20;Empleado;S;S;2200;500;1600;2;776;660;755;686;10390;8413;Ninguno;No aplica
5;1076695;2018-01-06 00:00:00;1;NEW ENGALND;62;30.33333333;Empleado;S;S;7500;500;1926;0;488;549;631;886;26575;20774;SMS;Pago parcial
6;1091652;2018-12-22 00:00:00;1;NEW YORK;48;20;Pensionado;S;S;8100;800;1100;3;488;589;519;756;16964;13780;Whatsapp;Sin gestión
7;1043846;2020-03-21 00:00:00;0;NEW YORK;33;10;Pensionado;S;S;5000;1502,378;2435,083;0;779;726;646;453;16284;15180;Ninguno;No aplica
8;1088967;2015-09-30 00:00:00;0;NEW YORK;50;20;Pensionado;N;S;6250;210;1700;0;738;823;644;765;27118;21517;Ninguno;No aplica
9;1045239;2016-02-20 00:00:00;0;NEW YORK;43;16.66666667;Pensionado;N;S;5400;780;980;0;677;730;734;534;11265;8905;Ninguno;No aplica
10;1046584;2016-08-08 00:00:00;1;NEW YORK;29;20;Empleado;S;S;10000;440;1350;2;527;650;651;741;21850;21748;SMS;Pago parcial
11;1076771;2020-05-26 00:00:00;0;NEW YORK;28;10;Empleado;N;S;2500;400;530;0;677;650;620;600;9426;8279;Ninguno;No aplica
12;1057800;2016-07-28 00:00:00;0;NEW ENGALND;24;10;independiente;N;N;13000;320;1050;3;677;618;723;863;26962;19444;Ninguno;No aplica
13;1083737;2016-09-01 00:00:00;1;NEW ENGALND;29;10;Pensionado;S;N;15000;600;1200;0;512;584;658;850;19423;16581;Correo;No contactado
14;1008539;2015-12-25 00:00:00;1;NEW ENGALND;44;30;independiente;N;S;7200;500;1000;4;404;586;597;653;16363;11366;Whatsapp;Sin gestión
15;1056697;2019-08-06 00:00:00;1;ATLANTHIC SOUTH;59;35;Empleado;S;S;8750;815;2275;1;414;515;731;709;21023;12917;Whatsapp;Sin gestión
16;1097730;2017-12-11 00:00:00;1;NEW YORK;54;35;Pensionado;S;S;8100;340;600;0;472;569;664;742;13322;10637;Call center;Promesa de pago
17;1020126;2020-03-11 00:00:00;1;ATLANTHIC SOUTH;47;4;independiente;S;S;4200;550;1400;0;449;604;650;798;6685;6445;SMS;Pago parcial
18;1078557;2017-10-13 00:00:00;0;ATLANTHIC SOUTH;44;20;Pensionado;S;S;9500;460;2500;0;716;702;662;673;5769;5565;Ninguno;No aplica
19;1018015;2018-01-04 00:00:00;0;ATLANTHIC SOUTH;41;20;independiente;S;S;7000;200;1000;4;655;710;575;578;28333;19010;Ninguno;No aplica
20;1016607;2020-01-20 00:00:00;1;CHICAGO;62;20;independiente;S;N;2800;600;1000;0;429;597;613;655;7433;5678;SMS;Pago parcial
21;1015068;2018-08-05 00:00:00;0;ATLANTHIC SOUTH;38;10;Empleado;N;N;8750;340;700;3;773;650;650;670;10311;6247;Ninguno;No aplica
22;1013855;2019-10-19 00:00:00;1;ATLANTHIC SOUTH;54;40;Pensionado;S;S;8750;546;1650;4;489;549;636;831;10051;10029;Call center;Promesa de pago
23;1044329;2016-10-07 00:00:00;0;ATLANTHIC SOUTH;36;10;Pensionado;N;S;20000;400;1500;4;703;608;739;709;11420;11312;Ninguno;No aplica
24;1088984;2016-12-20 00:00:00;1;NEW YORK;40;30;Empleado;S;N;3750;227;600;3;429;687;665;650;22568;18613;SMS;Pago parcial
25;1029191;2018-04-14 00:00:00;1;ATLANTHIC SOUTH;26;15;independiente;N;S;18000;500;1500;0;473;581;710;778;25939;23402;Correo;No contactado
26;1045505;2018-05-26 00:00:00;1;NEW YORK;30;20;Pensionado;S;S;7600;250;1270;2;506;567;651;685;24769;21241;Correo;No contactado
